0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
42.8,d_19130201,45.4,23.2,2,0,0,0,11.7,4.8,0.1,0,0
32.7,d_19130301,58.2,25.2,1.3,0,0,0,9.2,5.7,0.3,0,0
43.2,d_19130401,44.4,17.2,1,0.1,0,0,12.4,8.4,0.6,0,0
35.3,d_19130501,55.6,37,8.8,3.9,0.1,0,9.1,4.8,0,0,0
34.2,d_19130601,34.2,18.7,4.3,0.5,0,0,31.7,17.9,1.9,0,0
43.1,d_19130701,40,24.7,4.9,0.3,0,0,17,6.6,2.9,1.4,0
49.5,d_19130801,42.3,25.9,6.5,1.5,0,0,8.2,3.4,0.6,0,0
64.5,d_19130901,18.4,5.9,0,0,0,0,17.1,6.6,0.3,0.1,0
53,d_19131001,13.5,2.8,0,0,0,0,33.5,13.5,0.8,0.1,0
44.4,d_19131101,4.3,0.8,0,0,0,0,51.3,26.9,4,0.1,0
26.1,d_19131201,0,0,0,0,0,0,73.9,42.7,12.9,6.4,0.4
40.4,d_19140101,0.9,0,0,0,0,0,58.7,34.8,12.1,5.9,0.4
25.4,d_19140201,0.6,0,0,0,0,0,74.1,48.1,16.1,7.3,0.8
34.9,d_19140301,4.4,1.7,0,0,0,0,60.8,40.7,10,5.5,1.1
21.3,d_19140401,0.5,0,0,0,0,0,78.2,61.3,25.4,10.6,4.3
1.5,d_19140501,0,0,0,0,0,0,98.4,95.5,70.2,47.6,16.5
15.3,d_19140601,0.1,0,0,0,0,0,84.6,71.2,41.6,28.5,6.4
18.4,d_19140701,2.1,0.2,0,0,0,0,79.7,65,41.2,23.3,4.9
11.9,d_19140801,0,0,0,0,0,0,88,77.6,54.3,31.2,10.3
35.3,d_19140901,1.5,0.1,0,0,0,0,63.2,39.9,11,2.6,0
25.5,d_19141001,0.3,0,0,0,0,0,74.1,56.2,28.7,14,0.8
17.1,d_19141101,0.3,0,0,0,0,0,82.5,69.3,43,25.3,6
13.6,d_19141201,0,0,0,0,0,0,86.4,75.8,49.2,33.9,10.3
16.7,d_19150101,0.5,0.1,0,0,0,0,82.8,67.5,43.6,29.8,10.6
44.5,d_19150201,1,0.1,0,0,0,0,54.5,39.4,26.3,14.3,4.8
28.2,d_19150301,0,0,0,0,0,0,71.9,51.9,22.4,9.5,1.4
4.7,d_19150401,0,0,0,0,0,0,95.3,88,54.7,30.7,9.9
36.5,d_19150501,0.8,0,0,0,0,0,62.6,46.5,17.3,3.4,0
33.4,d_19150601,0.2,0,0,0,0,0,66.4,55.4,32.6,15.3,3.7
36,d_19150701,3.1,1,0,0,0,0,60.8,47.3,18.4,8.3,1.8
25.7,d_19150801,4.4,2.1,0.5,0.1,0,0,69.8,56.2,27.4,16.6,7.9
37.2,d_19150901,3.4,1.8,0.4,0.1,0,0,59.5,46,25.9,17.1,8.7
44.2,d_19151001,9.9,5.2,1,0.3,0,0,45.8,33.6,22.7,17.1,9.6
41.7,d_19151101,18.2,6.8,1.7,0.6,0,0,40.1,29.4,17.9,10.7,3.4
40.1,d_19151201,20.4,12.1,4.5,2.4,0.3,0,39.4,29.3,16.7,10.3,3.5
39.9,d_19160101,34,23.6,7.7,3.2,1,0,26,15.5,7,3.2,0.7
42.4,d_19160201,31.4,23,11.2,6.2,1.9,0,26.1,15,4.8,0.7,0
54.7,d_19160301,28.2,18.4,7.8,3.5,1.1,0,17.1,6.9,1.3,0.1,0
40.2,d_19160401,30.7,20.7,6.8,2.3,0.2,0,29,16.8,3.5,0.9,0
46,d_19160501,49.7,35.6,17.3,10.9,1.7,0,4.4,0.7,0,0,0
24.2,d_19160601,75.3,61.8,36,26.3,17.4,0,0.5,0.2,0,0,0
30,d_19160701,69.6,49.9,24.9,9.2,1,0,0.3,0,0,0,0
48.2,d_19160801,44.7,26.4,8.3,2.9,0,0,7,1.3,0.6,0.4,0.1
45.3,d_19160901,52.3,30.1,4.5,0.2,0,0,2.4,0.8,0.3,0.1,0
37.9,d_19161001,60.4,36.9,8.1,1.9,0.1,0,1.6,1,0.5,0.2,0
51.3,d_19161101,46.4,24.5,3.1,0.6,0,0,2.4,1,0.5,0.2,0
42.6,d_19161201,55.3,24.9,2.2,0.1,0,0,2,1.1,0.5,0.2,0
23.6,d_19170101,74.7,58.9,17.7,4.8,0.1,0,1.5,0.8,0.3,0.1,0
24.6,d_19170201,70.4,59.3,28.3,10.7,2.2,0,5.1,1.4,0.5,0.2,0
21.3,d_19170301,70.4,61.4,37.2,18.7,7.7,0,8.4,4.3,0.8,0.5,0.1
20.2,d_19170401,77.8,67.1,39,19.9,5.9,0,2.1,0.9,0.2,0,0
4.3,d_19170501,95.7,85.4,55.9,35.1,8.1,0,0,0,0,0,0
0.2,d_19170601,99.9,98.5,81,55.7,18.1,0,0,0,0,0,0
0.6,d_19170701,99.4,98,82,69.9,42.7,0,0,0,0,0,0
2.4,d_19170801,97.6,93.4,80.9,68.3,40.8,0,0,0,0,0,0
5.8,d_19170901,94.2,89.2,70,51.8,16.2,0,0,0,0,0,0
2.4,d_19171001,97.5,94,81.4,69.8,45,0,0,0,0,0,0
2.5,d_19171101,97.5,93.3,82.9,71,46.4,0,0,0,0,0,0
0.9,d_19171201,99,97.3,86.4,76.4,52.6,0,0,0,0,0,0
1.1,d_19180101,98.9,98.1,88.8,75.5,54.2,0,0,0,0,0,0
1.4,d_19180201,98.5,96.2,86.6,77.1,63.6,0,0,0,0,0,0
4,d_19180301,95.3,89.9,77.9,69.9,50.3,0,0.8,0.1,0,0,0
7.2,d_19180401,91.5,86.1,70.3,53.6,31.3,0,1.3,0.7,0,0,0
6.4,d_19180501,93.4,89,75.9,52.3,27.5,0,0.3,0.1,0,0,0
2.9,d_19180601,96.9,90.9,67.5,41,17.4,0,0.1,0,0,0,0
