0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
25.5,year_1719,0.4,0,0,0,0,0,74.2,63.6,34.6,9.4,1.1
20,year_1720,2.9,0,0,0,0,0,77.1,37.9,4.7,0.1,0
8.8,year_1721,0,0,0,0,0,0,91.2,72,42.9,29.9,16.6
32.7,year_1722,44.4,7.9,0,0,0,0,22.9,12.8,9,5.4,0
15.2,year_1723,0,0,0,0,0,0,84.9,39.2,14,0.4,0
40.3,year_1724,59.7,11.3,1.2,0,0,0,0,0,0,0,0
29.6,year_1725,70.4,28.6,10.2,0,0,0,0,0,0,0,0
44.4,year_1726,0,0,0,0,0,0,55.6,30.4,11.2,2.1,0
70.4,year_1727,18.4,0,0,0,0,0,11.1,6.2,0,0,0
22.3,year_1728,77.7,32.5,5.1,0,0,0,0,0,0,0,0
33.8,year_1729,66.2,18.7,3.6,0,0,0,0.1,0,0,0,0
0,year_1730,100,97.4,61.4,11.3,0,0,0,0,0,0,0
18.2,year_1731,81.8,17.3,0,0,0,0,0,0,0,0,0
20,year_1732,1.9,0,0,0,0,0,78.1,18.8,0,0,0
42.3,year_1733,32.3,9.8,0,0,0,0,25.5,2.8,0,0,0
75.5,year_1734,0,0,0,0,0,0,24.5,0,0,0,0
13.6,year_1735,1.6,0,0,0,0,0,84.8,69.5,47.1,14.6,0
33.4,year_1736,65.2,39.3,15.8,0.4,0,0,1.6,0,0,0,0
57.8,year_1737,38.8,12.7,0,0,0,0,3.4,0,0,0,0
51.6,year_1738,48.3,18.3,1.2,0,0,0,0,0,0,0,0
39.9,year_1739,22.5,5.2,0,0,0,0,37.6,4.6,0,0,0
15.5,year_1740,0,0,0,0,0,0,84.3,72.7,56.1,30.4,12.1
54,year_1741,22.5,3,0,0,0,0,23.5,0,0,0,0
11,year_1742,89,34.4,0,0,0,0,0,0,0,0,0
42.5,year_1743,47,2.8,0,0,0,0,10.5,2.7,0,0,0
48.8,year_1744,0,0,0,0,0,0,51.3,2,0,0,0
78.8,year_1745,0,0,0,0,0,0,21.3,7.9,0,0,0
0,year_1746,0,0,0,0,0,0,100,97.9,73.1,61.9,31.9
0,year_1747,0,0,0,0,0,0,100,69.5,50.9,29.3,13.5
42.3,year_1748,11.3,4.3,0,0,0,0,46.4,13.3,1.2,0,0
74.8,year_1749,2,0,0,0,0,0,23.2,4.8,0,0,0
46.1,year_1750,53.9,29.3,13.3,0.4,0,0,0,0,0,0,0
43.2,year_1751,36.6,4.3,0,0,0,0,20.1,3.1,0,0,0
0,year_1752,100,96,41.5,0,0,0,0,0,0,0,0
86.9,year_1753,12.4,0,0,0,0,0,0.8,0,0,0,0
43.5,year_1754,51.9,17.8,0,0,0,0,4.6,0,0,0,0
13.3,year_1755,84.3,64.7,35.4,3.5,0,0,2.3,0.4,0,0,0
